time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010448150000	20.6208	10.5066	-0.917781	-65.5739	-0.969522	radar	25.455	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.5874	10.8993	-0.772314	-65.1967	-0.599155	lidar	210.515	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	20.701	10.9269	-1.02104	-65.2556	-0.635131	radar	29.0646	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.6274	11.3019	-0.936233	-64.851	-0.259863	lidar	193.803	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	20.7062	11.3422	-1.13287	-64.9487	-0.35351	radar	30.262	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	20.6475	11.7679	-1.22853	-64.4544	0.0696628	lidar	241.614	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448450000	20.7044	11.8152	-1.34656	-64.5931	-0.0811358	radar	19.9403	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	20.6048	12.2439	-1.58539	-64.1193	0.29313	lidar	241.285	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	20.65	12.2887	-1.63752	-64.3405	0.0536085	radar	26.1803	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	20.4994	12.7098	-1.99806	-63.9532	0.327354	lidar	247.929	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448650000	20.5558	12.7726	-2.00464	-64.2092	0.0586429	radar	21.153	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	20.4461	13.1966	-2.49896	-64.0073	0.161797	lidar	218.184	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	20.4187	13.3378	-2.54653	-64.0175	0.140946	radar	14.335	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
